X,Y,Z
33.0932,3.73406,3.33169
33.4876,3.73147,3.36723
32.898,3.7328,3.31481
32.6973,3.7314,3.29831
35.857,3.73366,3.62218
35.2677,3.73116,3.55859
36.1672,3.73521,3.65071
33.2932,3.73255,3.34929
33.6869,3.73136,3.38655
35.4611,3.73534,3.58092
35.6572,3.73599,3.60219
26.2175,3.73163,4.06281
25.7248,3.74766,4.48147
25.7458,3.73066,4.56475
36.7927,3.73712,3.78186
26.699,3.74513,4.86405
27.0781,3.73747,4.89219
37.1511,3.74266,3.70101
25.7405,3.73771,4.39591
29.6814,4.60363,4.84046
33.1569,4.58563,4.47776
32.1768,4.58905,4.59857
32.7686,4.6037,4.52901
32.3756,4.60059,4.57637
32.9648,4.5934,4.50325
27.9497,4.58567,4.89183
28.2757,4.60419,4.89468
27.7828,4.59878,4.88607
36.7722,4.59048,3.9281
26.6311,4.59917,4.23055
29.7935,4.59331,3.44207
33.981,4.58953,3.54703
34.749,4.60213,3.62867
33.779,4.58889,3.52738
35.1514,4.59047,3.67114
34.9419,4.60317,3.64975
34.5608,4.59205,3.60724
28.2853,4.59221,3.68427
36.5804,4.59849,3.80432
27.2485,4.58839,4.84671
34.0655,5.45025,4.4601
33.5072,5.45242,4.53387
32.8683,5.45157,4.61083
32.2724,5.45688,4.67763
33.8854,5.45964,4.48566
34.2421,5.44573,4.43492
30.5733,5.45828,4.83004
35.3494,5.45576,4.26973
36.2092,5.45368,4.13591
28.8184,5.45511,4.88563
31.285,5.44313,3.52214
31.1348,5.44363,3.52564
32.9777,5.45869,3.56696
34.3345,5.45285,3.67856
33.7595,5.44427,3.62375
30.2214,5.44563,3.58016
29.4939,5.45323,3.67237
33.821,6.3177,4.59726
33.436,6.31079,4.64072
32.4465,6.30841,4.74183
34.8691,6.30929,4.45887
35.6338,6.31156,4.34523
31.3751,6.3167,4.82826
31.1812,6.30875,4.8398
29.5662,6.31847,4.88111
28.8885,6.31234,4.85574
37.5895,6.31084,4.02993
34.5186,6.31187,3.78597
35.2694,6.31809,3.86639
29.7047,6.31465,3.83136
28.7694,6.30345,4.02621
28.3856,7.16724,4.6205
33.873,7.17196,4.68876
31.4671,7.16507,4.86664
37.0348,7.15768,4.26001
29.5661,7.16035,4.85272
29.7073,7.16424,4.86103
37.5782,7.16968,4.1735
28.3898,7.16635,4.41688
33.7984,7.17461,3.80893
32.892,7.16301,3.76467
35.5841,7.16097,3.98435
36.8492,7.17475,4.11486
37.3911,7.17289,4.13908
33.074,8.0244,4.83289
33.719,8.03031,4.78719
35.4206,8.01501,4.61104
32.0714,8.01807,4.87947
30.6666,8.0187,4.87636
34.0628,8.02349,3.90781
34.1946,8.01396,3.91625
34.7641,8.01709,3.96636
32.106,8.02134,3.88378
36.1314,8.02341,4.12483
31.6985,8.02515,3.90953
36.6606,8.01634,4.18425
30.9908,8.02206,3.98235
37.7177,8.01524,4.24005
36.1452,8.88106,4.62584
34.0663,8.88908,4.83266
