Y,Xn,Yn,Zn
4.59544,0.767918,0.630045,0.115518
5.45226,0.722374,0.684816,0.0959347
6.30907,0.010336,0.992324,0.12323
7.16589,0.644984,0.762476,-0.0512372
8.02271,0.767152,0.63979,0.0463201
8.87953,-0.311105,0.944635,0.104298
9.73635,0.0616643,0.997847,0.0223241
10.5932,0.643062,0.758564,0.105131
11.45,0.360785,0.900615,0.242337
12.3068,0.955144,0.292884,0.0438156
13.1636,0.889123,0.377018,-0.259456
14.0204,-0.877499,0.474842,0.067236
14.8773,0.605339,0.793678,0.0603316
16.5909,-0.781082,0.623037,0.0416488
19.1614,0.154626,0.0455872,0.986921
20.0182,-0.645508,0.742343,0.179573
20.875,0.821856,0.563903,0.0810307
21.7318,0.348777,0.44299,0.825903
22.5886,-0.198628,0.964035,0.176587
24.3023,0.473709,0.435589,0.765416
26.0159,0.561363,0.129341,0.8174
26.8727,-0.398536,0.816147,0.418417
27.7295,-0.480836,0.632921,0.606801
