X,Y,Z
31.884,3.73862,3.98989
31.7478,4.59544,4.09995
32.4235,5.45226,4.1216
32.7123,6.30907,4.22673
32.8331,7.16589,4.3265
33.5025,8.02271,4.39761
33.8609,8.87953,4.44298
34.1374,9.73635,4.49611
34.625,10.5932,4.557
35.6876,11.45,4.67563
35.8597,12.3068,4.89325
36.3496,13.1636,4.97589
37.1275,14.0204,5.01322
37.3782,14.8773,5.07957
37.8979,15.7341,5.13382
38.5914,16.5909,5.21065
39.4218,17.4477,5.26085
39.585,18.3045,5.34591
40.2232,19.1614,5.4297
40.612,20.0182,5.50924
41.3413,20.875,5.61338
41.5957,21.7318,5.70671
42.1041,22.5886,5.81256
42.7155,23.4455,5.92059
43.3914,24.3023,6.04499
43.7361,25.1591,6.18905
45.2782,26.0159,6.37158
46.1722,26.8727,6.60727
45.4101,27.7295,6.94613
45.175,28.5864,7.4323
45.2217,29.4432,8.1073
