X,Y,Z
25.88867059,3.92266495,4.56907938
25.86696144,3.94011866,4.48505281
25.72480840,3.74766487,4.48147222
25.52279015,3.47240192,4.47571431
25.53973203,3.45840430,4.55096932
25.63209472,3.57934530,4.55870979
25.61272778,3.59517148,4.47836068
25.74580969,3.73065534,4.56475096
25.45074402,3.37383744,4.47351665
25.46479474,3.36206702,4.54187862
25.39308959,3.29484419,4.47171787
25.40420756,3.28540233,4.53204751
25.34691092,3.23151004,4.47025645
25.35542871,3.22426574,4.52221082
25.30991791,3.18073891,4.46907510
25.31641143,3.17547579,4.51301853
25.28535237,3.13651640,4.50483709
25.28027425,3.14003493,4.46812299
25.25649046,3.10736629,4.46735628
25.26065188,3.10539676,4.49765592
25.24073187,3.08024758,4.49111369
25.23723449,3.08091064,4.46673407
25.21794271,3.05440080,4.46610969
25.95789679,3.86989607,4.65734810
25.69525563,3.53121238,4.64578222
25.59607754,3.41535741,4.63481333
25.93340542,3.58883357,4.73623998
26.07993143,3.77767314,4.73937940
25.81333051,3.67923854,4.65323766
26.03167635,3.28751439,4.81819815
26.11551908,3.18342757,4.84547349
26.17646367,3.32471918,4.83854238
25.95339428,3.18070856,4.81833710
25.33699924,3.13934514,4.58222598
25.34909040,3.10777895,4.61354524
25.38547817,3.16748912,4.60868373
25.30863737,3.14133272,4.54508324
25.29844958,3.09884850,4.57157883
25.34843940,3.18102740,4.56116972
25.39830921,3.22828448,4.58013095
25.41913911,3.12526874,4.65337573
25.46554916,3.21554075,4.64242025
25.69591358,3.32707366,4.71795822
25.56834501,3.23117893,4.69255015
25.64137238,3.16886049,4.73951511
25.53782582,3.30875046,4.64638402
25.51579343,3.14170732,4.69756172
25.45118028,3.28143204,4.59519503
26.28865202,3.20020051,4.86593517
26.36949355,3.38102543,4.85917173
25.84749303,3.43634326,4.74437294
25.88887331,3.30979682,4.78288533
26.02563415,3.42507008,4.79560091
26.48010584,3.21028872,4.88273940
25.78886738,3.18410777,4.78060090
26.20684203,3.45345265,4.82759140
25.25504597,3.08642442,4.51920199
25.26434250,3.08012662,4.54423737
25.27697219,3.10906161,4.53065743
25.23723038,3.05391659,4.53020717
25.26170895,3.05352823,4.56631432
25.30198475,3.05307248,4.60668972
25.36180580,3.05255336,4.64977287
25.44714647,3.05187075,4.69528787
25.70460702,3.04996736,4.78393669
26.20563648,3.05021924,4.86951507
25.56262163,3.05084946,4.74141316
26.14153528,3.57902343,4.79615416
26.03105658,3.04999308,4.84786081
25.86313663,3.04977006,4.81958164
26.38632426,3.05025881,4.88527994
26.57260879,3.05006047,4.89570520
25.22393794,3.05420480,4.49828363
25.23780179,3.08125201,4.44218489
25.74050417,3.73770619,4.39591404
25.28217180,3.13959553,4.43095325
25.25759941,3.10740387,4.43676241
25.39990799,3.29126589,4.41012957
25.35160834,3.22931188,4.41736636
25.46002223,3.36860873,4.40354587
25.53458943,3.46541857,4.39852383
25.62676071,3.58655030,4.39583529
25.88363104,3.92919953,4.39880230
26.05867265,4.16344286,4.40387023
25.31297693,3.17958000,4.42446538
25.58210506,3.43245149,4.30517927
25.68049871,3.54885521,4.29796007
25.79849738,3.69655604,4.29602842
25.90157320,3.62167262,4.18093848
26.11908387,4.11938383,4.30705148
26.31868024,4.38681759,4.31722938
26.22444347,4.04121023,4.19694702
26.04942377,3.80843342,4.18557319
25.94377884,3.88597033,4.29938761
26.42158329,4.30975382,4.21256635
26.63113702,4.59916503,4.23054847
26.78056205,4.48570046,4.11258419
26.57728897,4.19219943,4.08670213
26.38433478,3.92146303,4.06423880
26.99832680,4.31938363,3.96615475
27.19633887,4.63410075,4.00359592
27.74152090,4.08309022,3.66707133
27.64868372,3.93932581,3.64694325
27.54641312,4.05192930,3.70880505
27.81213589,3.88218517,3.58853833
27.94451786,4.06144864,3.61071847
28.02543773,3.88452058,3.53936775
28.11213868,3.71644611,3.46998732
27.91953851,3.71530912,3.51231884
27.65020537,3.81867865,3.60925533
27.54343710,3.70079185,3.59983104
27.49078081,3.86797497,3.66638601
27.72805389,3.70089427,3.55328277
28.21756137,3.88569038,3.49799854
28.41048177,3.88694824,3.45962264
28.30554159,3.71757290,3.43062441
26.67844194,3.50721325,3.79270495
26.77268243,3.62964752,3.80385818
26.85532818,3.51930355,3.73844089
26.78500872,3.77849816,3.85197763
26.92991296,3.66948636,3.76600232
28.49955721,3.71856941,3.39437943
28.58959007,3.55087799,3.32993968
28.39439256,3.55006036,3.36400305
28.19985637,3.54916138,3.40129089
28.00596869,3.54814546,3.44170980
27.03934701,3.53382104,3.68642663
27.14015603,3.71544919,3.71662393
27.23672179,3.54401326,3.63247724
27.12739658,3.88216154,3.77548943
27.28038037,3.86549385,3.72439171
27.42800577,3.54520657,3.58060504
27.35306744,3.70669681,3.65273640
27.36921253,4.02230346,3.74900360
27.62006751,3.54627040,3.53149205
27.81274610,3.54721250,3.48516017
27.42861164,4.19248906,3.78575251
25.30620191,3.13045936,4.35889248
25.30088271,3.14996929,4.39563828
25.34035770,3.18119529,4.36516591
25.27697132,3.08950077,4.35644455
25.27363875,3.11362876,4.39626151
25.43613800,3.29531993,4.35106035
25.44040958,3.24840052,4.30444385
25.39227271,3.24005044,4.35385647
25.47724218,3.20971603,4.24384295
25.39674677,3.18161370,4.29638211
27.17930119,4.25875763,3.88363580
27.29708608,4.27554577,3.85168613
27.26110460,4.15403282,3.82343926
27.19347927,4.01329461,3.79833010
25.71118489,3.30221201,4.13465140
25.60818229,3.34283064,4.22471684
25.67322206,3.41656562,4.22061866
25.65045750,3.16171065,4.10028122
25.58062623,3.24618386,4.18871757
26.62525700,3.79531165,3.91588108
26.68178143,3.90523332,3.93491888
26.55215228,3.87403850,3.97382681
26.61574436,3.66285203,3.87087281
26.50655070,3.50211146,3.85203903
26.75209878,3.36462164,3.71809087
26.97998031,3.83263517,3.80537318
27.03688718,3.98785413,3.83942163
26.85117599,3.96818179,3.89563927
27.51201644,3.37930822,3.50535135
