X,Y,Z,Tangent_X,Tangent_Y,Tangent_Z,Normal_Y,Normal_Z
26.217541,3.731627,3.889889,0.996162,0.083330,0.026770,-0.305860,0.952076
36.580368,4.598491,4.168374,0.882058,0.463494,0.084536,-0.179428,0.983771
29.493861,5.453233,4.203889,-0.976788,0.213211,0.020655,-0.096423,0.995340
28.769412,6.303447,4.333541,0.977009,0.212748,0.013827,-0.064857,0.997895
37.391072,7.172886,4.315656,0.982176,0.187889,0.005277,-0.028077,0.999606
37.717717,8.015242,4.381622,0.356453,0.932241,0.062193,-0.066565,0.997782
38.042377,8.876258,4.429294,-0.933368,0.358191,0.022890,-0.063774,0.997964
33.224011,9.739753,4.491826,-0.875788,0.482251,0.020726,-0.042937,0.999078
34.909938,10.601132,4.503423,0.953232,0.301720,0.017706,-0.058584,0.998282
38.653957,11.458458,4.592688,0.914092,0.403866,0.036458,-0.089906,0.995950
38.756836,12.300775,4.656852,-0.938104,0.346297,0.006273,-0.018113,0.999836
34.034527,13.163700,4.623580,-0.921160,0.388154,0.028295,-0.072703,0.997354
34.674444,14.020991,4.782250,0.965139,0.259291,0.035706,-0.136419,0.990651
40.405488,14.875303,4.859279,0.638135,0.767431,0.061916,-0.080418,0.996761
36.105394,15.741873,4.921089,-0.898063,0.438517,0.034418,-0.078247,0.996934
36.910315,16.581968,4.993230,0.954918,0.295385,0.029653,-0.099885,0.994999
41.598528,17.441068,5.091667,0.950396,0.309449,0.031459,-0.101139,0.994872
42.171045,18.294862,5.167363,-0.785838,0.616186,0.052670,-0.085167,0.996367
39.414389,19.153680,5.238057,-0.787204,0.602436,0.131839,-0.213784,0.976881
39.907750,20.026929,5.546415,-0.315806,0.943541,0.099986,-0.105379,0.994432
38.840141,20.869376,5.419867,-0.781650,0.616797,-0.092652,0.148548,0.988905
