"PointID","x","y","z"
0, 6.444019813891619e+01, 1.066800000000000e+01, 7.716192250569166e+00
1, 6.444019543297414e+01, 1.066800000000000e+01, 7.716036471113937e+00
2, 6.444019436939682e+01, 1.066800000000000e+01, 7.715874168127309e+00
3, 6.444019530497738e+01, 1.066800000000000e+01, 7.715691502708420e+00
4, 6.444019926109286e+01, 1.066800000000000e+01, 7.715477584108713e+00
5, 6.444020801257382e+01, 1.066800000000000e+01, 7.715222181370144e+00
6, 6.444022426986550e+01, 1.066800000000000e+01, 7.714915969428647e+00
7, 6.444025203242201e+01, 1.066800000000000e+01, 7.714548926593321e+00
8, 6.444029717325898e+01, 1.066800000000000e+01, 7.714109376923883e+00
9, 6.444036828155393e+01, 1.066800000000000e+01, 7.713583740576667e+00
10, 6.444047787220546e+01, 1.066800000000000e+01, 7.712956515229474e+00
11, 6.444064405851108e+01, 1.066800000000000e+01, 7.712210807108984e+00
12, 6.444089174348962e+01, 1.066800000000000e+01, 7.711328954580770e+00
13, 6.444125319188808e+01, 1.066800000000000e+01, 7.710293083880822e+00
14, 6.444177062059160e+01, 1.066800000000000e+01, 7.709086611894719e+00
15, 6.444249783886849e+01, 1.066800000000000e+01, 7.707696488109780e+00
16, 6.444350019241656e+01, 1.066800000000000e+01, 7.706115162135774e+00
17, 6.444485251524054e+01, 1.066800000000000e+01, 7.704340499043957e+00
18, 6.444663922602402e+01, 1.066800000000000e+01, 7.702375955778324e+00
19, 6.444895184835411e+01, 1.066800000000000e+01, 7.700227682518014e+00
20, 6.445189098128199e+01, 1.066800000000000e+01, 7.697902682883801e+00
21, 6.445556882754950e+01, 1.066800000000000e+01, 7.695404371447434e+00
22, 6.446003373837426e+01, 1.066800000000000e+01, 7.692769665316317e+00
23, 6.446527176993102e+01, 1.066800000000000e+01, 7.690050707507354e+00
24, 6.447178932696900e+01, 1.066800000000000e+01, 7.687051351513607e+00
25, 6.447984061604021e+01, 1.066800000000000e+01, 7.683752495242997e+00
26, 6.448959683681728e+01, 1.066800000000000e+01, 7.680185051242252e+00
27, 6.450151518727742e+01, 1.066800000000000e+01, 7.676291220329744e+00
28, 6.451633339483907e+01, 1.066800000000000e+01, 7.671982674046562e+00
29, 6.453470200253247e+01, 1.066800000000000e+01, 7.667257364682870e+00
30, 6.455603891775314e+01, 1.066800000000000e+01, 7.662413586403795e+00
31, 6.458013479937779e+01, 1.066800000000000e+01, 7.657584092594218e+00
32, 6.460616914803560e+01, 1.066800000000000e+01, 7.652965395385435e+00
33, 6.463357894190872e+01, 1.066800000000000e+01, 7.648644287524850e+00
34, 6.466111267161995e+01, 1.066800000000000e+01, 7.644761989800480e+00
35, 6.468945146726773e+01, 1.066800000000000e+01, 7.641169458693712e+00
36, 6.471883524270967e+01, 1.066800000000000e+01, 7.637814682824673e+00
37, 6.474928461082197e+01, 1.066800000000000e+01, 7.634686317425372e+00
