x,y,z
-9.792830318212508711e-01,0.000000000000000000e+00,-2.904042553901672541e+00
-9.792830318212508711e-01,0.000000000000000000e+00,3.059395146369934260e+00
5.586236858367918945e-01,2.254544734954833984e+00,-2.796248674392700195e+00
5.586236858367918945e-01,2.254544734954833984e+00,2.947202444076538086e+00
6.155462265014647549e+00,4.509089469909667969e+00,-2.220864331722260054e+00
6.155462265014647549e+00,4.509089469909667969e+00,2.381695067882538375e+00
1.343424938201904872e+01,6.763634204864501953e+00,-1.629445165395737138e+00
1.343424938201904872e+01,6.763634204864501953e+00,1.770143955945969072e+00
1.809515668869018512e+01,9.018178939819335938e+00,-1.087519881129264787e+00
1.809515668869018512e+01,9.018178939819335938e+00,1.201672849059105319e+00
2.096895639419555835e+01,1.127272415161132812e+01,-6.627837747335435514e-01
2.096895639419555835e+01,1.127272415161132812e+01,7.321955889463428457e-01
2.311413553237914797e+01,1.352726840972900391e+01,-4.298472255468367975e-01
2.311413553237914797e+01,1.352726840972900391e+01,4.633316248655318659e-01
2.461196546554565856e+01,1.578181266784667969e+01,-3.545761212706566301e-01
2.461196546554565856e+01,1.578181266784667969e+01,3.753140375018120256e-01
2.579415546417236271e+01,1.803635787963867188e+01,-3.341050788760185353e-01
2.579415546417236271e+01,1.803635787963867188e+01,3.555687412619590870e-01
2.702099618911742951e+01,2.029090309143066406e+01,-3.130981400609016418e-01
2.702099618911742951e+01,2.029090309143066406e+01,3.314491286873817444e-01
2.831090566635131367e+01,2.254544830322265625e+01,-2.825810544192790541e-01
2.831090566635131367e+01,2.254544830322265625e+01,3.001421771943568739e-01
2.967458103179931683e+01,2.479999160766601562e+01,-2.482977636158466006e-01
2.967458103179931683e+01,2.479999160766601562e+01,2.609152771532536330e-01
3.102168088912963739e+01,2.705453681945800781e+01,-2.233507320284844055e-01
3.102168088912963739e+01,2.705453681945800781e+01,2.355329379439353998e-01
3.231923572540283374e+01,2.930908203125000000e+01,-2.058634489774704424e-01
3.231923572540283374e+01,2.930908203125000000e+01,2.177021235227585283e-01
