X,Y,Z
31.01095168,10.69819601,4.62206314
31.02741481,10.68459053,4.65623612
31.05996269,10.73304703,4.65353654
31.13582038,10.87116444,4.59919781
31.12880074,10.86194571,4.59890019
31.12965933,10.86173313,4.60934126
30.96621417,10.63844168,4.62181472
30.96184808,10.64269202,4.59195453
30.90395625,10.56666615,4.58960441
30.90866158,10.56213389,4.62061633
30.92792035,10.54634084,4.65733758
30.98430809,10.62355500,4.65747342
31.10716861,10.83353672,4.59798589
31.10872376,10.83213601,4.61518997
31.12074982,10.84909603,4.61235082
31.11958571,10.84984382,4.59851018
31.09086458,10.81212501,4.59729964
31.09293252,10.81003613,4.61776285
31.04228017,10.74832039,4.59526913
31.04560340,10.74496963,4.62138966
31.07234820,10.78153303,4.61989760
31.06966607,10.78428555,4.59641103
31.00704900,10.70205245,4.59381011
30.83479201,10.46461982,4.61847898
30.82984660,10.46934462,4.58663858
30.73481525,10.34455339,4.58290406
30.61283684,10.18438747,4.57822055
30.61811728,10.17941524,4.61132139
30.73994030,10.33969203,4.61539825
30.85485680,10.44820652,4.65598718
31.08425880,10.77163898,4.64942302
30.96656110,10.51572285,4.69514892
30.63926923,10.16218622,4.65013481
30.76059444,10.32283267,4.65356349
31.06143191,10.65755039,4.69233276
31.02102331,10.59441743,4.69455086
30.89484434,10.41656052,4.69439176
30.80159074,10.29042214,4.69252042
30.95883314,10.36658249,4.73177987
31.02864472,10.46720081,4.73208483
35.38216826,8.64387286,4.69145819
35.33716194,8.81672097,4.71577427
35.23794713,8.75329143,4.71942300
35.23699068,8.59742213,4.70234381
35.11012436,8.67780995,4.72460384
37.00969208,9.68919278,4.60818545
37.14280039,9.84528103,4.60863725
36.98815962,9.90625372,4.63607035
36.84767380,9.80024749,4.64261220
31.22448051,10.64878347,4.75305103
31.15596650,10.65554792,4.73163547
31.20157735,10.57850571,4.75907562
31.10884113,10.60172341,4.72820700
31.11947176,10.51678437,4.74863402
38.24715627,10.70597529,4.53281681
38.24510935,10.75219194,4.53890027
38.20823762,10.73439873,4.54551388
38.18704347,10.69358068,4.54550978
38.32032613,10.80574379,4.52546344
38.32110005,10.82916966,4.52819955
38.30036347,10.82275779,4.53321997
38.28742598,10.79975353,4.53387428
35.42924287,8.32592331,4.64846779
35.32323288,8.46085639,4.67707279
35.25899911,8.26082890,4.66101272
35.50201711,8.47339374,4.65744112
35.43692055,8.17612492,4.62914600
35.60523897,8.09405948,4.59720708
35.61611748,8.28898737,4.62055679
35.12967803,8.46400190,4.69909918
35.38023449,8.92319585,4.72275451
35.46141367,8.80027536,4.70028438
36.01633896,8.42033044,4.58445138
35.86550234,8.53977624,4.61983904
35.82901991,8.34621335,4.60004163
35.88733641,8.70298242,4.63735775
35.73880916,8.67784253,4.65306136
35.69145363,8.48813687,4.63578113
35.56791787,8.64546757,4.67003423
36.16472674,8.72975051,4.60418902
36.02356170,8.62179445,4.60936221
36.21175774,8.51683254,4.57029975
36.14515167,8.88106125,4.62583930
36.00082200,8.82915553,4.63829317
35.12593854,8.84352909,4.74049867
34.99027900,8.81361341,4.75066966
35.24342882,8.94626859,4.73941002
